step,id,x,y,gx,gy,priority,battery,blocked,charging
12,0,14,1,15,1,0,88,1,0
12,1,3,1,13,2,2,88,0,0
12,2,0,1,2,13,1,88,2,0
12,3,18,2,10,1,2,88,2,0
12,4,15,11,13,9,0,88,0,0
12,5,19,1,3,11,2,88,4,0
12,6,1,2,18,0,0,88,2,0
12,7,-1,-1,-1,-1,0,89,0,0
12,8,11,17,19,17,1,88,0,0
12,9,9,5,11,9,1,88,1,0
12,10,-1,-1,-1,-1,0,90,0,0
12,11,1,1,15,13,2,88,3,0
12,12,1,17,0,19,2,88,4,0
12,13,1,0,14,4,2,88,3,0
12,14,16,1,0,1,0,88,0,0
12,15,18,19,10,4,0,88,1,0
12,16,18,0,6,13,2,88,4,0
12,17,-1,-1,-1,-1,1,93,0,0
12,18,5,1,13,2,2,88,0,0
12,19,18,1,1,13,1,88,5,0
12,20,11,16,0,17,0,88,0,0
12,21,2,1,3,19,2,88,5,0
12,22,1,18,6,9,1,88,4,0
12,23,0,18,1,17,2,88,5,0
12,24,1,19,17,7,0,88,5,0
12,25,17,1,10,18,2,88,3,0
12,26,2,18,6,17,2,88,2,0
12,27,14,2,16,2,0,88,0,0
12,28,-1,-1,-1,-1,2,98,0,0
12,29,6,11,4,17,0,88,0,0
13,0,15,1,15,1,0,87,1,0
13,1,3,1,13,2,2,87,1,0
13,2,0,1,2,13,1,87,3,0
13,3,18,2,10,1,2,87,3,0
13,4,15,10,13,9,0,87,0,0
13,5,19,1,3,11,2,87,5,0
13,6,1,2,18,0,0,87,3,0
13,7,-1,-1,-1,-1,0,89,0,0
13,8,11,18,19,17,1,87,0,0
13,9,9,6,11,9,1,87,1,0
13,10,-1,-1,-1,-1,0,90,0,0
13,11,1,1,15,13,2,87,4,0
13,12,1,17,0,19,2,87,5,0
13,13,1,0,14,4,2,87,4,0
13,14,16,1,0,1,0,87,1,0
13,15,18,18,10,4,0,87,1,0
13,16,18,0,6,13,2,87,5,0
13,17,-1,-1,-1,-1,1,93,0,0
13,18,4,1,13,2,2,87,0,0
13,19,18,1,1,13,1,87,6,0
13,20,11,17,0,17,0,87,0,0
13,21,2,1,3,19,2,87,6,0
13,22,1,18,6,9,1,87,5,0
13,23,0,18,1,17,2,87,6,0
13,24,1,19,17,7,0,87,6,0
13,25,17,1,10,18,2,87,4,0
13,26,2,18,6,17,2,87,3,0
13,27,15,2,16,2,0,87,0,0
13,28,-1,-1,-1,-1,2,98,0,0
13,29,6,12,4,17,0,87,0,0
14,0,-1,-1,-1,-1,0,87,1,0
14,1,3,1,13,2,2,86,2,0
14,2,0,1,2,13,1,86,4,0
14,3,18,2,10,1,2,86,4,0
14,4,15,9,13,9,0,86,0,0
14,5,19,1,3,11,2,86,6,0
14,6,1,2,18,0,0,86,4,0
14,7,-1,-1,-1,-1,0,89,0,0
14,8,12,18,19,17,1,86,0,0
14,9,9,7,11,9,1,86,1,0
14,10,-1,-1,-1,-1,0,90,0,0
14,11,1,1,15,13,2,86,5,0
14,12,1,17,0,19,2,86,6,0
14,13,1,0,14,4,2,86,5,0
14,14,15,1,0,1,0,86,1,0
14,15,18,19,10,4,0,86,1,0
14,16,18,0,6,13,2,86,6,0
14,17,-1,-1,-1,-1,1,93,0,0
14,18,4,1,13,2,2,86,1,0
14,19,18,1,1,13,1,86,7,0
14,20,10,17,0,17,0,86,0,0
14,21,2,1,3,19,2,86,7,0
14,22,1,18,6,9,1,86,6,0
14,23,0,18,1,17,2,86,7,0
14,24,1,19,17,7,0,86,7,0
14,25,17,1,10,18,2,86,5,0
14,26,2,18,6,17,2,86,4,0
14,27,16,2,16,2,0,86,0,0
14,28,-1,-1,-1,-1,2,98,0,0
14,29,6,13,4,17,0,86,0,0
15,0,-1,-1,-1,-1,0,87,1,0
15,1,3,1,13,2,2,85,3,0
15,2,0,1,2,13,1,85,5,0
15,3,18,2,10,1,2,85,5,0
15,4,14,9,13,9,0,85,0,0
15,5,19,1,3,11,2,85,7,0
15,6,1,2,18,0,0,85,5,0
15,7,-1,-1,-1,-1,0,89,0,0
15,8,13,18,19,17,1,85,0,0
15,9,9,8,11,9,1,85,1,0
15,10,-1,-1,-1,-1,0,90,0,0
15,11,1,1,15,13,2,85,6,0
15,12,1,17,0,19,2,85,7,0
15,13,1,0,14,4,2,85,6,0
15,14,14,1,0,1,0,85,1,0
15,15,18,18,10,4,0,85,1,0
15,16,18,0,6,13,2,85,7,0
15,17,-1,-1,-1,-1,1,93,0,0
15,18,4,1,13,2,2,85,2,0
15,19,18,1,1,13,1,85,8,0
15,20,9,17,0,17,0,85,0,0
15,21,2,1,3,19,2,85,8,0
15,22,1,18,6,9,1,85,7,0
15,23,0,18,1,17,2,85,8,0
15,24,1,19,17,7,0,85,8,0
15,25,17,1,10,18,2,85,6,0
15,26,2,18,6,17,2,85,5,0
15,27,-1,-1,-1,-1,0,86,0,0
15,28,-1,-1,-1,-1,2,98,0,0
15,29,6,14,4,17,0,85,0,0
16,0,-1,-1,-1,-1,0,87,1,0
16,1,3,1,13,2,2,84,4,0
16,2,0,1,2,13,1,84,6,0
16,3,18,2,10,1,2,84,6,0
16,4,13,9,13,9,0,84,0,0
16,5,19,1,3,11,2,84,8,0
16,6,1,2,18,0,0,84,6,0
16,7,-1,-1,-1,-1,0,89,0,0
16,8,14,18,19,17,1,84,0,0
16,9,9,9,11,9,1,84,1,0
16,10,-1,-1,-1,-1,0,90,0,0
16,11,1,1,15,13,2,84,7,0
16,12,1,17,0,19,2,84,8,0
16,13,1,0,14,4,2,84,7,0
16,14,13,1,0,1,0,84,1,0
16,15,18,19,10,4,0,84,1,0
16,16,18,0,6,13,2,84,8,0
16,17,-1,-1,-1,-1,1,93,0,0
16,18,4,1,13,2,2,84,3,0
16,19,18,1,1,13,1,84,9,0
16,20,8,17,0,17,0,84,0,0
16,21,2,1,3,19,2,84,9,0
16,22,1,18,6,9,1,84,8,0
16,23,0,18,1,17,2,84,9,0
16,24,1,19,17,7,0,84,9,0
16,25,17,1,10,18,2,84,7,0
16,26,2,18,6,17,2,84,6,0
16,27,-1,-1,-1,-1,0,86,0,0
16,28,-1,-1,-1,-1,2,98,0,0
16,29,6,15,4,17,0,84,0,0
17,0,-1,-1,-1,-1,0,87,1,0
17,1,3,1,13,2,2,83,5,0
17,2,0,1,2,13,1,83,7,0
17,3,18,2,10,1,2,83,7,0
17,4,-1,-1,-1,-1,0,84,0,0
17,5,19,1,3,11,2,83,9,0
17,6,1,2,18,0,0,83,7,0
17,7,-1,-1,-1,-1,0,89,0,0
17,8,15,18,19,17,1,83,0,0
17,9,10,9,11,9,1,83,1,0
17,10,-1,-1,-1,-1,0,90,0,0
17,11,1,1,15,13,2,83,8,0
17,12,1,17,0,19,2,83,9,0
17,13,1,0,14,4,2,83,8,0
17,14,12,1,0,1,0,83,1,0
17,15,18,18,10,4,0,83,1,0
17,16,18,0,6,13,2,83,9,0
17,17,-1,-1,-1,-1,1,93,0,0
17,18,4,1,13,2,2,83,4,0
17,19,18,1,1,13,1,83,10,0
17,20,7,17,0,17,0,83,0,0
17,21,2,1,3,19,2,83,10,0
17,22,1,18,6,9,1,83,9,0
17,23,0,18,1,17,2,83,10,0
17,24,1,19,17,7,0,83,10,0
17,25,17,1,10,18,2,83,8,0
17,26,2,18,6,17,2,83,7,0
17,27,-1,-1,-1,-1,0,86,0,0
17,28,-1,-1,-1,-1,2,98,0,0
17,29,6,16,4,17,0,83,0,0
18,0,-1,-1,-1,-1,0,87,1,0
18,1,3,1,13,2,2,82,6,0
18,2,0,1,2,13,1,82,8,0
18,3,18,2,10,1,2,82,8,0
18,4,-1,-1,-1,-1,0,84,0,0
18,5,19,1,3,11,2,82,10,0
18,6,1,2,18,0,0,82,8,0
18,7,-1,-1,-1,-1,0,89,0,0
18,8,16,18,19,17,1,82,0,0
18,9,11,9,11,9,1,82,1,0
18,10,-1,-1,-1,-1,0,90,0,0
18,11,1,1,15,13,2,82,9,0
18,12,1,17,0,19,2,82,10,0
18,13,1,0,14,4,2,82,9,0
18,14,11,1,0,1,0,82,1,0
18,15,18,19,10,4,0,82,1,0
18,16,18,0,6,13,2,82,10,0
18,17,-1,-1,-1,-1,1,93,0,0
18,18,4,1,13,2,2,82,5,0
18,19,18,1,1,13,1,82,11,0
18,20,6,17,0,17,0,82,0,0
18,21,2,1,3,19,2,82,11,0
18,22,1,18,6,9,1,82,10,0
18,23,0,18,1,17,2,82,11,0
18,24,1,19,17,7,0,82,11,0
18,25,17,1,10,18,2,82,9,0
18,26,2,18,6,17,2,82,8,0
18,27,-1,-1,-1,-1,0,86,0,0
18,28,-1,-1,-1,-1,2,98,0,0
18,29,5,16,4,17,0,82,0,0
19,0,-1,-1,-1,-1,0,87,1,0
19,1,3,1,13,2,2,81,7,0
19,2,0,1,2,13,1,81,9,0
19,3,18,2,10,1,2,81,9,0
19,4,-1,-1,-1,-1,0,84,0,0
19,5,19,1,3,11,2,81,11,0
19,6,1,2,18,0,0,81,9,0
19,7,-1,-1,-1,-1,0,89,0,0
19,8,17,18,19,17,1,81,0,0
19,9,-1,-1,-1,-1,1,82,1,0
19,10,-1,-1,-1,-1,0,90,0,0
19,11,1,1,15,13,2,81,10,0
19,12,1,17,0,19,2,81,11,0
19,13,1,0,14,4,2,81,10,0
19,14,10,1,0,1,0,81,1,0
19,15,18,18,10,4,0,81,1,0
19,16,18,0,6,13,2,81,11,0
19,17,-1,-1,-1,-1,1,93,0,0
19,18,4,1,13,2,2,81,6,0
19,19,18,1,1,13,1,81,12,0
19,20,5,17,0,17,0,81,0,0
19,21,2,1,3,19,2,81,12,0
19,22,1,18,6,9,1,81,11,0
19,23,0,18,1,17,2,81,12,0
19,24,1,19,17,7,0,81,12,0
19,25,17,1,10,18,2,81,10,0
19,26,2,18,6,17,2,81,9,0
19,27,-1,-1,-1,-1,0,86,0,0
19,28,-1,-1,-1,-1,2,98,0,0
19,29,5,16,4,17,0,81,1,0
20,0,-1,-1,-1,-1,0,87,1,0
20,1,3,1,13,2,2,80,8,0
20,2,0,1,2,13,1,80,10,0
20,3,18,2,10,1,2,80,10,0
20,4,-1,-1,-1,-1,0,84,0,0
20,5,19,1,3,11,2,80,12,0
20,6,1,2,18,0,0,80,10,0
20,7,-1,-1,-1,-1,0,89,0,0
20,8,17,18,19,17,1,80,1,0
20,9,-1,-1,-1,-1,1,82,1,0
20,10,-1,-1,-1,-1,0,90,0,0
20,11,1,1,15,13,2,80,11,0
20,12,1,17,0,19,2,80,12,0
20,13,1,0,14,4,2,80,11,0
20,14,9,1,0,1,0,80,1,0
20,15,18,19,10,4,0,80,1,0
20,16,18,0,6,13,2,80,12,0
20,17,-1,-1,-1,-1,1,93,0,0
20,18,4,1,13,2,2,80,7,0
20,19,18,1,1,13,1,80,13,0
20,20,4,17,0,17,0,80,0,0
20,21,2,1,3,19,2,80,13,0
20,22,1,18,6,9,1,80,12,0
20,23,0,18,1,17,2,80,13,0
20,24,1,19,17,7,0,80,13,0
20,25,17,1,10,18,2,80,11,0
